Col1,Col2,Col3,Col4,Name,UT
james,cr,NA,NA,James,FALSE
ut,mcdeeds,cr,NA,McDeeds,TRUE
mill,cr,NA,NA,Mill,FALSE
ut,nick's,cr,NA,Nicks,TRUE
nicks,cr,NA,NA,Nicks,FALSE
crane,cr,NA,NA,Crane,FALSE
beaver,cr,NA,NA,Beaver,FALSE
l,crane,cr,NA,Crane,FALSE
mclendons,cr,NA,NA,McLendons,FALSE
herds,cr,NA,NA,Herds,FALSE
haystack,cr,NA,NA,Haystack,FALSE
wet,cr,NA,NA,Wet,FALSE
juniper,cr,NA,NA,Juniper,FALSE
cotton,cr,NA,NA,Cotton,FALSE
cabin,cr,NA,NA,Cabin,FALSE
parkwood,br,NA,NA,Parkwood,FALSE
wolf,cr,NA,NA,Wolf,FALSE
bear,cr,NA,NA,Bear,FALSE
crawley,cr,NA,NA,Crawley,FALSE
big,governors,cr,NA,Big Governors,FALSE
buffalo,cr,NA,NA,Buffalo,FALSE
deep,r,NA,NA,Deep,FALSE
falls,cr,NA,NA,Falls,FALSE
l,pocket,cr,NA,Pocket,FALSE
fork,cr,NA,NA,Fork,FALSE
l,buffalo,cr,NA,Buffalo,FALSE
indian,cr,NA,NA,Indian,FALSE
big,buffalo,cr,NA,Buffalo,FALSE
ut,cape,fear,r,Cape Fear,TRUE
flat,cr,NA,NA,Flat,FALSE
ut,deep,r,NA,Deep,TRUE
ut,kenneth,cr,NA,Kenneth,TRUE
kenneth,cr,NA,NA,Kenneth,FALSE
hughes,cr,NA,NA,Hughes,FALSE
cedar,cr,NA,NA,Cedar,FALSE
georges,cr,NA,NA,Georges,FALSE
gulf,cr,NA,NA,Gulf,FALSE
ut,gulf,cr,NA,Gulf,TRUE
buckhorn,cr,NA,NA,Buckhorn,FALSE
middle,cr,NA,NA,Middle,FALSE
brush,cr,NA,NA,Brush,FALSE
terrible,cr,NA,NA,Terrible,FALSE
richland,cr,NA,NA,Richland,FALSE
basal,cr,NA,NA,Basal,FALSE
rocky,r,NA,NA,Rocky,FALSE
ut,l,brush,cr,Brush,TRUE
ut,swift,cr,NA,Swift,TRUE
ut,rocky,r,NA,Rocky,TRUE
tantraugh,br,NA,NA,Tantraugh,FALSE
tick,cr,NA,NA,Tick,FALSE
little,br,NA,NA,Little,FALSE
ut,to,swift,cr,Swift,TRUE
landrum,cr,NA,NA,Landrum,FALSE
swift,cr,NA,NA,Swift,FALSE
meadow,cr,NA,NA,Meadow,FALSE
harlands,cr,NA,NA,Harlands,FALSE
loves,cr,NA,NA,Loves,FALSE
beddingfield,cr,NA,NA,Beddingfield,FALSE
ut,camp,cr,NA,Camp,TRUE
camp,cr,NA,NA,Camp,FALSE
dutchmans,br,NA,NA,Dutchmans,FALSE
turkey,cr,NA,NA,Turkey,FALSE
neuse,r,NA,NA,Neuse,FALSE
yates,mill,br,NA,Mill,FALSE
robeson,cr,NA,NA,Robeson,FALSE
ut,big,branch,NA,Big Branch,TRUE
ut,loves,cr,NA,Loves,TRUE
swift,cr,trib,a,Swift,FALSE
speight,br,NA,NA,Speight,FALSE
haw,r,NA,NA,Haw,FALSE
ut,poplar,cr,NA,Poplar,TRUE
hasketts,cr,NA,NA,Hasketts,FALSE
penwood,br,NA,NA,Penwood,FALSE
williams,cr,NA,NA,Williams,FALSE
walnut,cr,NA,NA,Walnut,FALSE
white,oak,cr,NA,White Oak,FALSE
ut,neuse,r,NA,Neuse,TRUE
beartree,cr,NA,NA,Beartree,FALSE
pokeberry,cr,NA,NA,Pokeberry,FALSE
brooks,cr,NA,NA,Brooks,FALSE
rocky,br,NA,NA,Rocky,FALSE
sandy,cr,NA,NA,Sandy,FALSE
mango,cr,NA,NA,Mango,FALSE
mt,pleasant,cr,NA,Mt Pleasant,FALSE
pigeon,house,br,NA,Pigeon House,FALSE
dry,cr,NA,NA,Dry,FALSE
ut,richlands,cr,NA,Richlands,TRUE
crabtree,cr,NA,NA,Crabtree,FALSE
ut,moccasin,cr,NA,Moccasin,TRUE
little,cr,NA,NA,Little,FALSE
beaverdam,cr,NA,NA,Beaverdam,FALSE
marsh,cr,NA,NA,Marsh,FALSE
richlands,cr,NA,NA,Richlands,FALSE
terrells,cr,NA,NA,Terrells,FALSE
reedy,cr,NA,NA,Reedy,FALSE
ferrels,cr,NA,NA,Ferrels,FALSE
ut,sandy,cr,NA,Sandy,TRUE
black,cr,NA,NA,Black,FALSE
cub,cr,NA,NA,Cub,FALSE
hare,snipe,cr,NA,Hare Snipe,FALSE
mine,cr,NA,NA,Mine,FALSE
sycamore,cr,NA,NA,Sycamore,FALSE
kit,cr,NA,NA,Kit,FALSE
northeast,cr,NA,NA,Northeast,FALSE
ut,turkey,cr,NA,Turkey,TRUE
collins,cr,NA,NA,Collins,FALSE
morgan,cr,NA,NA,Morgan,FALSE
polecat,cr,NA,NA,Polecat,FALSE
pritchards,mill,cr,NA,Pritchards Mill,FALSE
perry,cr,NA,NA,Perry,FALSE
l,polecat,cr,NA,Polecat,FALSE
muddy,cr,NA,NA,Muddy,FALSE
ut,mine,cr,NA,Mine,TRUE
ut,perry,cr,NA,Perry,TRUE
new,hope,cr,NA,New Hope,FALSE
cane,cr,NA,NA,Cane,FALSE
burdens,cr,NA,NA,Burdens,FALSE
meeting,of,the,waters,Meeting of the Waters,FALSE
wells,cr,NA,NA,Wells,FALSE
ut,toms,cr,NA,Toms,TRUE
third,fork,cr,NA,Third Fork,FALSE
toms,cr,NA,NA,Toms,FALSE
little,r,NA,NA,Little,FALSE
ut,muddy,fk,NA,Muddy,TRUE
ut,falls,lake,NA,Falls,TRUE
marys,cr,NA,NA,Marys,FALSE
smith,cr,NA,NA,Smith,FALSE
tanbark,br,NA,NA,Tanbark,FALSE
long,br,NA,NA,Long,FALSE
bolin,cr,NA,NA,Bolin,FALSE
booker,cr,NA,NA,Booker,FALSE
ut,collins,cr,NA,Collins,TRUE
lower,barton,cr,NA,Barton,FALSE
hickory,cr,NA,NA,Hickory,FALSE
upper,barton,cr,NA,Barton,FALSE
austin,cr,NA,NA,Austin,FALSE
lick,cr,NA,NA,Lick,FALSE
l,lick,cr,NA,Lick,FALSE
jenny,br,NA,NA,Jenny,FALSE
varnals,cr,NA,NA,Varnals,FALSE
reddicks,cr,NA,NA,Reddicks,FALSE
horse,cr,NA,NA,Horse,FALSE
ut,polecat,cr,NA,Polecat,TRUE
ut,l,lick,cr,Lick,TRUE
haw,cr,NA,NA,Haw,FALSE
stinking,quarter,cr,NA,Stinking Quarter,FALSE
big,alamance,cr,NA,Great Alamance,FALSE
ellerbe,cr,NA,NA,Ellerbe,FALSE
new,light,cr,NA,New Light,FALSE
l,alamance,cr,NA,Great Alamance,FALSE
e,fk,deep,r,Deep,FALSE
mile,run,cr,NA,Mile Run,FALSE
s,buffalo,cr,NA,Buffalo,FALSE
gum,cr,NA,NA,Gum,FALSE
ut,back,cr,NA,Back,TRUE
w,fk,deep,r,Deep,FALSE
ut,e,fk,deep,Deep,TRUE
sevenmile,cr,NA,NA,Sevenmile,FALSE
eno,r,NA,NA,Eno,FALSE
ut,rock,cr,NA,Rock,TRUE
n,buffalo,cr,NA,Buffalo,FALSE
back,cr,NA,NA,Back,FALSE
coble,br,NA,NA,Coble,FALSE
moadams,cr,NA,NA,Moadams,FALSE
ut,horsepen,cr,NA,Horsepen,TRUE
horsepen,cr,NA,NA,Horsepen,FALSE
ut,to,horsepen,cr,Horsepen,TRUE
ut,w,fk,deep,Deep,TRUE
knap,of,reeds,cr,Knap of Reeds,FALSE
w,ut,travis,cr,Travis,TRUE
e,ut,travis,cr,Travis,TRUE
travis,cr,NA,NA,Travis,FALSE
flat,r,NA,NA,Flat,FALSE
e,pr,eno,r,Eno,FALSE
tickle,cr,NA,NA,Tickle,FALSE
w,fk,eno,r,Eno,FALSE
w,ut,haw,r,Haw,TRUE
s,fk,little,r,Little,FALSE
reedy,fk,NA,NA,Reedy,FALSE
n,fk,little,r,Little,FALSE
basin,cr,NA,NA,Basin,FALSE
mountain,cr,NA,NA,Mountain,FALSE
ut,stagg,cr,NA,Stagg,TRUE
ut,n,fk,little,Little,TRUE
jordan,cr,NA,NA,Jordan,FALSE
ut,brooks,lake,NA,Brooks,TRUE
buttermilk,cr,NA,NA,Buttermilk,FALSE
candy,cr,NA,NA,Candy,FALSE
ut,haw,r,NA,Haw,TRUE
deep,cr,NA,NA,Deep,FALSE
stony,cr,NA,NA,Stony,FALSE
s,flat,r,NA,Flat,FALSE
troublesome,cr,NA,NA,Troublesome,FALSE
brushy,fk,NA,NA,Brushy,FALSE
l,troublesome,cr,NA,Troublesome,FALSE
n,flat,r,NA,Flat,FALSE
ut,l,troublesome,cr,Troublesome,TRUE
